# Node ID	X Coordinate	Y Coordinate	Z Coordinate
        1     4.999750002E-02     5.000000000E-04    -4.999916667E-04
        2    -4.999750002E-02     5.000000000E-04    -4.999916667E-04
        3     4.901292896E-02     5.000000000E-04    -9.923151906E-03
        4     4.636315798E-02     5.000000000E-04    -1.874203985E-02
        5     4.221397315E-02     5.000000000E-04    -2.679251904E-02
        6     3.673116057E-02     5.000000000E-04    -3.391045302E-02
        7     3.008050633E-02     5.000000000E-04    -3.993170532E-02 
        8     2.242779650E-02     5.000000000E-04    -4.469213948E-02
        9     1.393881719E-02     5.000000000E-04    -4.802761904E-02
       10     4.779354480E-03     5.000000000E-04    -4.977400754E-02
       11    -4.779354480E-03     5.000000000E-04    -4.977400754E-02
       12    -1.393881719E-02     5.000000000E-04    -4.802761904E-02
       13    -2.242779650E-02     5.000000000E-04    -4.469213948E-02
       14    -3.008050633E-02     5.000000000E-04    -3.993170532E-02
       15    -3.673116057E-02     5.000000000E-04    -3.391045302E-02
       16    -4.221397315E-02     5.000000000E-04    -2.679251904E-02
       17    -4.636315798E-02     5.000000000E-04    -1.874203985E-02
       18    -4.901292896E-02     5.000000000E-04    -9.923151906E-03
       19    -4.999750002E-02     9.950000000E-02    -4.999916667E-04
       20    -4.999750002E-02     9.500000000E-03    -4.999916667E-04
       21    -4.999750002E-02     1.850000000E-02    -4.999916667E-04
       22    -4.999750002E-02     2.750000000E-02    -4.999916667E-04
       23    -4.999750002E-02     3.650000000E-02    -4.999916667E-04
       24    -4.999750002E-02     4.550000000E-02    -4.999916667E-04
       25    -4.999750002E-02     5.450000000E-02    -4.999916667E-04
       26    -4.999750002E-02     6.350000000E-02    -4.999916667E-04
       27    -4.999750002E-02     7.250000000E-02    -4.999916667E-04
       28    -4.999750002E-02     8.150000000E-02    -4.999916667E-04
       29    -4.999750002E-02     9.050000000E-02    -4.999916667E-04
       30     4.999750002E-02     9.950000000E-02    -4.999916667E-04
       31    -4.901292896E-02     9.950000000E-02    -9.923151906E-03
       32    -4.636315798E-02     9.950000000E-02    -1.874203985E-02
       33    -4.221397315E-02     9.950000000E-02    -2.679251904E-02
       34    -3.673116057E-02     9.950000000E-02    -3.391045302E-02
       35    -3.008050633E-02     9.950000000E-02    -3.993170532E-02
       36    -2.242779650E-02     9.950000000E-02    -4.469213948E-02
       37    -1.393881719E-02     9.950000000E-02    -4.802761904E-02
       38    -4.779354480E-03     9.950000000E-02    -4.977400754E-02
       39     4.779354480E-03     9.950000000E-02    -4.977400754E-02
       40     1.393881719E-02     9.950000000E-02    -4.802761904E-02
       41     2.242779650E-02     9.950000000E-02    -4.469213948E-02
       42     3.008050633E-02     9.950000000E-02    -3.993170532E-02
       43     3.673116057E-02     9.950000000E-02    -3.391045302E-02
       44     4.221397315E-02     9.950000000E-02    -2.679251904E-02
       45     4.636315798E-02     9.950000000E-02    -1.874203985E-02
       46     4.901292896E-02     9.950000000E-02    -9.923151906E-03
       47     4.999750002E-02     9.050000000E-02    -4.999916667E-04
       48     4.999750002E-02     8.150000000E-02    -4.999916667E-04
       49     4.999750002E-02     7.250000000E-02    -4.999916667E-04
       50     4.999750002E-02     6.350000000E-02    -4.999916667E-04
       51     4.999750002E-02     5.450000000E-02    -4.999916667E-04
       52     4.999750002E-02     4.550000000E-02    -4.999916667E-04
       53     4.999750002E-02     3.650000000E-02    -4.999916667E-04
       54     4.999750002E-02     2.750000000E-02    -4.999916667E-04
       55     4.999750002E-02     1.850000000E-02    -4.999916667E-04
       56     4.999750002E-02     9.500000000E-03    -4.999916667E-04
       57    -2.042859469E-02     4.947015485E-02    -4.564310864E-02
       58     2.684871377E-02     5.155561569E-02    -4.217746203E-02
       59    -4.096312290E-02     5.674999946E-02    -2.866398492E-02
       60     1.721065232E-02     2.637500040E-02    -4.695385608E-02
       61    -3.950618569E-02     2.858072913E-02    -3.063693171E-02
       62     3.595075143E-02     2.637500040E-02    -3.473632733E-02
       63    -8.217956688E-03     7.541198477E-02    -4.932643953E-02
       64     4.441383545E-02     6.153103002E-02    -2.297372515E-02
       65    -1.249935102E-02     2.477797065E-02    -4.842188514E-02
       66     1.684823878E-02     7.463297706E-02    -4.708530022E-02
       67     6.065965271E-03     4.954180590E-02    -4.963493421E-02
       68    -3.538880831E-02     7.751464824E-02    -3.530853742E-02
       69     4.614334918E-02     3.143750074E-02    -1.927584388E-02
       70     4.186759154E-02     8.417097084E-02    -2.732925398E-02
       71    -4.574152927E-02     7.418125585E-02    -2.020889056E-02
       72    -4.672171254E-02     3.763199121E-02    -1.783100375E-02
       73     4.265518561E-02     3.824711081E-02    -2.608626896E-02
       74    -2.584298879E-02     5.872889074E-02    -4.280271379E-02
       75    -4.471911484E-02     2.268018933E-02    -2.237532644E-02
       76    -3.438362560E-02     3.372386901E-02    -3.628822211E-02
       77    -3.307277369E-02     2.432721916E-02    -3.748749229E-02
       78     3.767392470E-02     7.080125700E-02    -3.286080769E-02
       79    -1.708000612E-02     7.515720574E-02    -4.700160761E-02
       80     4.583441964E-02     1.957499974E-02    -1.999779998E-02
       81     4.492079360E-02     7.624544994E-02    -2.196872128E-02
       82    -7.169196648E-03     3.366666677E-02    -4.948874112E-02
       83    -4.605363151E-02     5.643259933E-02    -1.948878556E-02
       84     4.653765463E-02     4.019718253E-02    -1.830524799E-02
       85     2.176384532E-02     1.775000027E-02    -4.502009400E-02
       86    -6.937730767E-03     1.740785958E-02    -4.952148974E-02
       87     1.813319371E-02     6.641449358E-02    -4.660475977E-02
       88     1.396676656E-02     8.292384697E-02    -4.801950088E-02
       89     2.150789709E-02     3.421317011E-02    -4.514326070E-02
       90    -3.960130927E-02     2.030828614E-02    -3.051409903E-02
       91     1.388635466E-02     1.760416688E-02    -4.804280928E-02
       92    -4.665605224E-02     1.496313859E-02    -1.800184359E-02
       93     3.202238382E-02     4.327162635E-02    -3.838955842E-02
       94     4.030364610E-02     5.612500121E-02    -2.958208944E-02
       95    -2.178217796E-02     8.259911755E-02    -4.501120292E-02
       96     1.257732548E-02     3.462500040E-02    -4.840171672E-02
       97    -4.314677941E-03     8.329783082E-02    -4.981599104E-02
       98    -1.582741300E-02     5.908219975E-02    -4.743857372E-02
       99    -1.903117474E-02     7.525799351E-03    -4.624460842E-02
      100    -1.405619514E-04     6.500997693E-02    -4.999980611E-02
      101    -2.307051655E-02     3.231592744E-02    -4.436285564E-02
      102    -4.793601494E-02     8.679687519E-02    -1.425060283E-02
      103     3.233115408E-02     7.765111533E-02    -3.812957439E-02
      104     4.781457680E-02     6.017863899E-02    -1.465300117E-02
      105    -2.767607138E-02     4.414979799E-02    -4.163788396E-02
      106    -4.303309261E-02     8.276562510E-02    -2.545976189E-02
      107    -4.095544628E-02     3.785893527E-02    -2.867492709E-02
      108     4.875702717E-02     1.584989197E-02    -1.111637227E-02
      109     7.651704302E-03     7.553237847E-02    -4.941691012E-02
      110     3.505462983E-03     2.477577703E-02    -4.987873224E-02
      111     2.544990662E-02     6.518202819E-02    -4.303823641E-02
      112    -7.567980022E-03     5.153121028E-02    -4.942972036E-02
      113    -4.885359517E-02     5.225000031E-02    -1.068264287E-02
      114     1.774233171E-02     5.168750060E-02    -4.675522439E-02
      115     4.747430535E-02     9.133928682E-02    -1.572030567E-02
      116     2.808371442E-02     8.968064540E-02    -4.136337457E-02
      117    -4.384190389E-02     4.735728681E-02    -2.404431035E-02
      118    -2.966070939E-02     1.212173038E-02    -4.024510262E-02
      119    -3.005316716E-02     6.939784781E-02    -3.995232346E-02
      120    -4.755335514E-02     2.764851441E-02    -1.547964483E-02
      121    -3.314808033E-02     8.881249987E-02    -3.742086427E-02
      122    -3.772414677E-02     6.692192107E-02    -3.280320229E-02
      123    -4.901455046E-02     7.020568222E-02    -9.915107455E-03
      124    -3.464499876E-02     5.845561476E-02    -3.603870056E-02
      125     3.150493928E-02     5.951186091E-02    -3.881589061E-02
      126    -2.066846820E-02     2.055208329E-02    -4.553471716E-02
      127     4.867682851E-02     7.648341390E-02    -1.146337222E-02
      128     4.388890789E-02     9.933658200E-03    -2.395864407E-02
      129    -1.493152792E-03     4.244245772E-02    -4.997807576E-02
