# Node ID	X Coordinate	Y Coordinate	Z Coordinate
        1    -3.697247075E-02     1.754063116E-07    -5.393404809E-02
        2     3.697239322E-02     9.486463719E-06    -5.395675562E-02
        3    -3.615641229E-02    -7.730119942E-03    -5.368758406E-02
        4    -3.375518842E-02    -1.509284443E-02    -5.296594310E-02
        5    -2.989446303E-02    -2.176184249E-02    -5.190403761E-02
        6    -2.475003992E-02    -2.746725096E-02    -5.069124441E-02
        7    -1.852800610E-02    -3.198824447E-02    -4.953423803E-02
        8    -1.147679888E-02    -3.513199139E-02    -4.862817433E-02
        9    -3.884741571E-03    -3.674952930E-02    -4.812740590E-02
       10     3.888211756E-03    -3.674916880E-02    -4.812118736E-02
       11     1.148116127E-02    -3.513037960E-02    -4.861068864E-02
       12     1.853658258E-02    -3.198289257E-02    -4.951021874E-02
       13     2.475779863E-02    -2.746019437E-02    -5.066690760E-02
       14     2.990052851E-02    -2.175342788E-02    -5.188412252E-02
       15     3.375924250E-02    -1.508382318E-02    -5.295380212E-02
       16     3.615830631E-02    -7.721367757E-03    -5.368919369E-02
       17     3.615446163E-02     7.739247435E-03    -5.370204782E-02
       18     3.375184873E-02     1.510029267E-02    -5.296903684E-02
       19     2.989095330E-02     2.176664918E-02    -5.189464280E-02
       20     2.474517587E-02     2.747194502E-02    -5.067057837E-02
       21     1.852811166E-02     3.198799412E-02    -4.950632998E-02
       22     1.147638106E-02     3.513188739E-02    -4.859414039E-02
       23     3.884573399E-03     3.674917858E-02    -4.808907826E-02
       24    -3.891066989E-03     3.674877560E-02    -4.807976424E-02
       25    -1.147954926E-02     3.513121121E-02    -4.856669262E-02
       26    -1.853934510E-02     3.198119932E-02    -4.946445121E-02
       27    -2.476061522E-02     2.745752983E-02    -5.061797018E-02
       28    -2.990289771E-02     2.175001123E-02    -5.183547248E-02
       29    -3.375833482E-02     1.508585912E-02    -5.291166213E-02
       30    -3.615664621E-02     7.729274376E-03    -5.365757718E-02
       31    -1.262601942E-01     9.544577585E-13    -7.065579727E-02
       32     1.262601942E-01    -1.894252225E-12    -7.065549086E-02
       33    -1.256018978E-01    -7.847543568E-03    -7.028806617E-02
       34    -1.236729767E-01    -1.549007260E-02    -6.922301718E-02
